Series Name,Series Code,Country Name,Country Code,"2012 [YR2012] =AVERAGE(IF(ISBLANK(2012[YR2012]:2012[YR2012]), """", 2012[YR2012]:2012[YR2012))",2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Slovenia,SVN,2793000000,2966000000,3052000000,2594000000,2717899902,3055100098,3377500000,3353100098,1418000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Solomon Islands,SLB,65400001.53,70500000,64800003.05,60000000,71000000,79000000,92000000,82000000,7000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Somalia,SOM,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,South Africa,ZAF,11202000000,10468000000,10484000000,9140000000,8807000000,9706000000,9789000000,9064000000,2716000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,South Sudan,SSD,3456000,3456000,3456000,22000000,23500000,26000000,12000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Spain,ESP,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Sri Lanka,LKA,1756000000,2506000000,3278000000,3978000000,4591000000,5083000000,5608000000,4663000000,1076000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,St. Kitts and Nevis,KNA,95000000,101000000,343000000,317000000,332000000,355000000,367000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,St. Lucia,LCA,337000000,354000000,778000000,810000000,776000000,875000000,989000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,St. Martin (French part),MAF,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,St. Vincent and the Grenadines,VCT,3456000,3456000,178500000,211100006.1,221300003.1,215399993.9,231000000,255000000,85000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Sudan,SDN,772000000,773000000,967000000,949000000,1009000000,1029000000,1043000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Suriname,SUR,79000000,92000000,103000000,99000000,74000000,61000000,73000000,64000000,19000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Sweden,SWE,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Switzerland,CHE,19564000000,20236000000,21358000000,20140000000,19787000000,20399000000,21294000000,21257000000,9994000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Syrian Arab Republic,SYR,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Tajikistan,TJK,286600006.1,233300003.1,220199996.9,146000000,149600006.1,171600006.1,170899993.9,179100006.1,102400001.5
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Tanzania,TZA,1754000000,1939000000,2047000000,1924000000,2149000000,2265000000,2465000000,2624500000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Thailand,THA,34565000000,41765000000,38451000000,44851000000,48459000000,57057000000,61383000000,64371000000,15360000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Timor-Leste,TLS,21000000,29000000,35000000,51000000,58000000,73000000,78000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Togo,TGO,206000000,233000000,233000000,212000000,223000000,245000000,269000000,264000000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Tonga,TON,40000000,47000000,38299999.24,46400001.53,52700000.76,48500000,48099998.47,57099998.47,47700000.76
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Trinidad and Tobago,TTO,852000000,856000000,875000000,809000000,708000000,717000000,541000000,481000000,151000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Tunisia,TUN,2931000000,2863000000,3042000000,1869000000,1706000000,1782000000,2320000000,2683000000,1007000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Turkiye,TUR,31566000000,37984000000,40028000000,35648000000,26505000000,31993000000,36791000000,41415000000,13771000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Turkmenistan,TKM,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Turks and Caicos Islands,TCA,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Tuvalu,TUV,2700000,2400000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Uganda,UGA,1157000000,960000000,984000000,1049000000,1118000000,954000000,1522000000,1400000000,518000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Ukraine,UKR,5988000000,5931000000,2264000000,1662000000,1723000000,2019000000,2269000000,2595000000,687000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,United Arab Emirates,ARE,10924000000,12389000000,15221000000,25587099609,28657400391,29705500000,34609500000,38413300781,24615400391
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,United Kingdom,GBR,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,United States,USA,1.95113E+11,2.13105E+11,2.22746E+11,2.30574E+11,2.28549E+11,2.33758E+11,2.41984E+11,2.39447E+11,84205000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Uruguay,URY,2666000000,2481000000,2341000000,2349000000,2396000000,2924000000,2708000000,2335000000,1085000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Uzbekistan,UZB,3456000,3456000,660000000,688000000,579000000,835000000,1314000000,1679000000,395000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Vanuatu,VUT,268000000,314000000,284000000,254000000,275000000,289000000,325000000,295000000,67000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,"Venezuela, RB",VEN,904000000,926000000,900000000,654000000,546000000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Vietnam,VNM,6850000000,7250000000,7410000000,7350000000,8500000000,8890000000,10080000000,11830000000,3232000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Virgin Islands (U.S.),VIR,1210000000,1168000000,1319000000,1324000000,1343000000,1202000000,993000000,1031000000,686000000
